"Path","HasComment","HasHeader","Functions","DocumentedFunctions","GitCreated","GitModified"
"D:/project/portfoliio/src/apps/vscode-lite/components/layout/EditorGroup.tsx","True","False","1","0","2026-02-13T14:51:21+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/layout/EditorGroupV2.tsx","True","True","1","1","2026-02-13T15:31:46+08:00","2026-02-26T15:26:04+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/layout/Workbench.tsx","True","False","1","0","2026-02-13T14:51:21+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/ActivityBar.tsx","False","False","1","0","2026-02-13T10:49:42+08:00","2026-02-13T15:31:46+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/CommandPalette.tsx","False","False","3","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/ContextMenu.tsx","True","False","3","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/Dialog.tsx","True","False","3","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/Editor.tsx","True","False","1","0","2026-02-13T10:49:42+08:00","2026-02-13T15:31:46+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/GitView.tsx","True","False","1","0","2026-02-13T14:51:21+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/Menubar.tsx","False","False","3","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/Preview.tsx","True","False","3","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/SearchPanel.tsx","True","False","2","0","2026-02-13T14:51:21+08:00","2026-02-13T15:31:46+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/Sidebar.tsx","True","False","7","0","2026-02-13T10:49:42+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/StatusBar.tsx","True","False","5","0","2026-02-13T10:49:42+08:00","2026-02-13T15:31:46+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/components/TitleBar.tsx","True","False","1","0","2026-02-13T10:49:42+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/hooks/useDialog.ts","True","False","2","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/hooks/useEditorStateV2.ts","True","False","2","0","2026-02-13T15:31:46+08:00","2026-02-26T15:26:04+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/hooks/useMonacoIntellisense.ts","True","False","2","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/hooks/useMonacoIntellisenseV2.ts","True","False","3","0","2026-02-13T15:31:46+08:00","2026-02-26T15:05:00+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/hooks/useUnsavedChanges.ts","True","False","2","0","2026-02-13T15:31:46+08:00","2026-02-13T15:31:46+08:00"
